feature,n_present,mean_present,median_present,positive_rate_present,n_absent,mean_absent,median_absent,positive_rate_absent,mean_difference_present_minus_absent
role_or_status_framing,8,2.47412109375,1.0078125,0.875,52,0.008939302884615384,0.142578125,0.5384615384615384,2.4651817908653846
nominalization,4,1.9970703125,1.580078125,1.0,56,0.21909877232142858,0.181640625,0.5535714285714286,1.7779715401785714
taxonomic_or_categorical_framing,9,1.453125,0.19921875,0.5555555555555556,51,0.1407781862745098,0.2890625,0.5882352941176471,1.3123468137254901
relation_reframing,21,0.8100818452380952,0.90234375,0.7619047619047619,39,0.08323317307692307,0.0,0.48717948717948717,0.7268486721611722
technical_lexicon,14,0.2837611607142857,0.37109375,0.6428571428571429,46,0.35402513586956524,0.251953125,0.5652173913043478,-0.07026397515527955
syntactic_restructuring,13,-0.2764423076923077,0.3203125,0.6923076923076923,47,0.5074800531914894,0.1640625,0.5531914893617021,-0.7839223608837971
