family_id,condition,exact_overlap,max_similarity
H023,true_formal_control,False,0.5436893203883495
H023,true_role_relational,False,0.5050505050505051
H023,false_plain_direct,False,0.7368421052631579
H023,false_formal_control,False,0.7524752475247525
H023,false_role_relational,False,0.6605504587155964
H024,true_plain_direct,False,0.5185185185185185
H024,true_formal_control,False,0.45045045045045046
H024,true_role_relational,False,0.4507042253521127
H024,false_plain_direct,False,0.5306122448979592
H024,false_formal_control,False,0.5102040816326531
H024,false_role_relational,False,0.49056603773584906
H025,true_plain_direct,False,0.5681818181818182
H025,true_formal_control,False,0.5287356321839081
H025,true_role_relational,False,0.54
H025,false_plain_direct,False,0.5581395348837209
H025,false_formal_control,False,0.5581395348837209
H025,false_role_relational,False,0.5306122448979592
H026,true_plain_direct,False,0.5176470588235295
H026,true_formal_control,False,0.4864864864864865
H026,true_role_relational,False,0.5227272727272727
H026,false_plain_direct,False,0.4935064935064935
H026,false_formal_control,False,0.46153846153846156
H026,false_role_relational,False,0.5376344086021505
H027,true_plain_direct,False,0.45454545454545453
H027,true_formal_control,False,0.4857142857142857
H027,true_role_relational,False,0.575
H027,false_plain_direct,False,0.4810126582278481
H027,false_formal_control,False,0.43243243243243246
H027,false_role_relational,False,0.5783132530120482
H028,true_plain_direct,False,0.5476190476190477
H028,true_formal_control,False,0.5128205128205128
H028,true_role_relational,False,0.5333333333333333
H028,false_plain_direct,False,0.5569620253164557
H028,false_formal_control,False,0.5135135135135135
H028,false_role_relational,False,0.5581395348837209
H029,true_plain_direct,False,0.6329113924050633
H029,true_formal_control,False,0.5925925925925926
H029,true_role_relational,False,0.6067415730337079
H029,false_plain_direct,False,0.6842105263157895
H029,false_formal_control,False,0.6410256410256411
H029,false_role_relational,False,0.627906976744186
H030,true_plain_direct,False,0.5869565217391305
H030,true_formal_control,False,0.5531914893617021
H030,true_role_relational,False,0.5869565217391305
H030,false_plain_direct,False,0.6329113924050633
H030,false_formal_control,False,0.5925925925925926
H030,false_role_relational,False,0.6067415730337079
H031,true_plain_direct,False,0.6521739130434783
H031,true_formal_control,False,0.717391304347826
H031,true_role_relational,False,0.673469387755102
H031,false_plain_direct,False,0.6938775510204082
H031,false_formal_control,False,0.7551020408163265
H031,false_role_relational,False,0.6923076923076923
H032,true_plain_direct,False,0.5348837209302325
H032,true_formal_control,False,0.5647058823529412
H032,true_role_relational,False,0.5454545454545454
H032,false_plain_direct,False,0.5542168674698795
H032,false_formal_control,False,0.5853658536585366
H032,false_role_relational,False,0.5684210526315789
H033,true_plain_direct,False,0.5647058823529412
H033,true_formal_control,False,0.6352941176470588
H033,true_role_relational,False,0.6060606060606061
H033,false_plain_direct,False,0.5609756097560976
H033,false_formal_control,False,0.6341463414634146
H033,false_role_relational,False,0.6170212765957447
H034,true_plain_direct,False,0.5094339622641509
H034,true_formal_control,False,0.5660377358490566
