truth,realization,condition,n,mean,median,sd,minimum,maximum
false,formal_control,false_formal_control,30,-8.860807291666667,-10.525390625,4.936712259509893,-11.6484375,8.4765625
false,functions_as,false_functions_as,30,-8.927408854166666,-10.615234375,4.845731725451364,-11.83984375,8.20703125
true,formal_control,true_formal_control,30,9.540559895833333,9.5625,0.664547570075593,7.4765625,10.392578125
true,functions_as,true_functions_as,30,9.216536458333334,9.4013671875,0.8598068035799145,6.5546875,10.4375
